# First 100 float values from dataset.bin
# Range: [-1000, 1000]

762,70245
-498,59048
208,85904
673,0774
-523,6994
396,23837
-660,29865
-855,0303
-484,26703
-264,13937
-73,261406
463,43335
758,4391
-726,36084
-102,22901
432,96942
96,804924
-545,01917
-204,0961
-863,921
-177,7964
-401,5764
-324,55447
55,85141
391,15378
65,99169
150,60255
-337,00342
-44,854763
459,8452
250,01997
-329,84268
917,8147
-562,7219
-848,79285
765,47687
818,12
58,842365
-216,59224
819,9994
33,6868
-324,8727
313,12088
934,08716
796,4479
-534,8536
-960,10944
417,41043
214,24767
66,09844
-358,76154
561,7915
-579,1669
-148,26125
-129,9452
750,6082
441,27386
112,69504
841,662
635,14453
415,26633
-976,3107
-223,72992
125,75357
152,31102
-665,0852
535,866
935,9106
-617,0452
792,8703
535,0687
223,57967
671,176
197,46294
797,62177
-354,79532
14,89417
677,0321
413,58856
891,8256
827,34753
58,362686
-401,3636
-611,7273
-212,21986
285,55786
539,92804
392,0702
599,089
954,29065
-375,92664
430,3907
467,559
966,1801
-997,1552
98,43425
-503,18488
-216,32666
-810,59326
19,365362
